Codigo,Clase,Familia,Descripcion,Tallas,Marca,Color,Composicion,Precio_reg,Precio_final
335500,BOLSAS,CRUZADA,SS26 BOLSA ERIKA FLAP CROSSBODY NEGRO SUAVIZADO,10,GUESS FACTORY,NEGRO,PVC 100%.,1899,1899
335526,INVIERNO,CHALECO,"FM. CHALECO CORTO CON CIERRE, CUELLO ALTO. COLOR BLANCO.",70/90/110/130,NEW LOOK,WHITE,POLYESTER 100 %.,299,299
335531,BLUSA JUVENIL,BASICA SM,"FM BLUSA C/TIRANTES Y ENCAJE, COLOR NEGRO",70/90/110,EMOCIONES,NEGRO,POLIESTER 100 %.,99,99
335532,BLUSA JUVENIL,BASICA ML,C01SS24 BLUSA REFILL MANGA LARGA CON ESTAMPADO DE RAYAS,50/70/90/110/130,REFILL,PINK,COTTON 100%.,349,249
335535,VERANO JUVENIL,SHORT,FM SHORTS MARCA HOLLISTER,50/70/90/110/130,HOLLISTER,AZUL,ALGODON 100 %.,599,199
335541,BOLSAS,CRUZADA,SS26 BOLSA ISABELLA FLAP CROSSBODY NEGRO SUAVIZADO,10,GUESS FACTORY,NEGRO,PVC 100%.,1699,1699
335555,BLUSA JUVENIL,BASICA MC,"FM BODY RIB BRUSH, MANGA CORTA, CUELLO REDONDO, COLOR CORAL",70/90/110,HAUTE MONDE,CORAL,POLIESTER 95 %. SPANDEX 5 %.,129,129
335556,BOLSAS,CRUZADA,SS26 BOLSA ISABELLA FLAP CROSSBODY CAFÉ ESTAMPADO,10,GUESS FACTORY,CAFE,PVC 100%.,1699,1699
335562,BLUSA JUVENIL,BASICA MC,"FM BODY RIB BRUSH, MANGA CORTA, CUELLO REDONDO, COLOR NEGRO",70/90/110,HAUTE MONDE,NEGRO,POLIESTER 95 %. SPANDEX 5 %.,129,129
335569,BLUSA JUVENIL,MODA MC,SS26 BLUSA MANGA CORTA POLO UNION CLUB CAMISAERA ESTAMPADA DE RAYAS CON BOLSA EN EL PECHO CON ROLL UP EN MANGAS,70/90/110/130/150,POLO UNION CLUB,BEIGE,RAYON 80%. COTTON 10%. LINEN 10%.,349,349
335582,BLUSA JUVENIL,MODA SM,"FM BODY S/M DE MESH, ENCAJE EN DELANTERO, GOTA EN ESPALDA, COLOR VINO",70/90/110/130,HAUTE MONDE,VINO,POLIESTER 95 %. SPANDEX 5 %.,199,199
335584,BOLSAS,CRUZADA,SS26 BOLSA JOELLA MINI DBL ZIP CROSSBODY NEGRO,10,GUESS FACTORY,NEGRO,PVC 100%.,1499,1499
335587,UNIFORMES COPPEL,DAMAS,"BLUSA AZUL ML DAMA, GESTOR COBRANZA",240/260/280/300/320/340/360/380/400/420/440/460,SIN MARCA,AZUL,ALGODON 65%. POLIESTER 35%.,464,464
